"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"COYE",-1.82655738413636,0.974307271073759,0.00551551227616044,-0.270729627723794,0.30813290286495,0.379611050465294,"Apparantly stable","Discovery Park","Habitat Generalist","Widespread","Parulidae","landbird","other","M","native",9.5,"Carnivore","Invertivore","Wetland",1
"DCCO",-1.42314172990639,0.928927486275356,0.00867404594918925,0.204130545861218,0.07548203049837,0.00684362051833545,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Phalacrocoracidae","waterbird","other","M","native",1806.49,"Carnivore","Aquatic predator","Marine",3
"DEJU",-1.01643725011081,0.857279030685127,0.153267480730569,0.605520836053583,0.029869678748746,2.26813547086017e-91,"Apparantly stable","Discovery Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",19.5,"Herbivore","Granivore","Forest",2
"DOWO",-1.15676488350611,0.763847990633171,0.000121470530061172,0.013252188857627,0.0550051139398677,0.809612093198778,"Apparantly stable","Discovery Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",25.6,"Carnivore","Invertivore","Woodland",2
"EUST",-1.19902229335121,0.917435927938599,0.297045660089266,-1.10831708847493,0.0667181181820687,5.71199186702121e-62,"Decreasing","Discovery Park","Introduced","Introduced","Sturnidae","other","other","Introduced","Introduced",77.1,"Omnivore","Omnivore","Human Modified",3
"EUWI",-1.97380448479291,0.994952775660875,0.00168437304884299,-0.337552099279155,0.465110145088874,0.467994137934148,"Apparantly stable","Discovery Park","Accidental","Accidental","Anatidae","waterfowl","other","M","accidental",770,"Herbivore","Omnivore","Wetland",3
"EVGR",-1.44652988543151,0.84182631512237,0.0868743329583429,-0.433038591097307,0.201797264645582,0.0318802298499951,"Apparantly stable","Discovery Park","Boreal Forest","Temperate North America","Fringillidae","landbird","other","M","native",57.3,"Herbivore","Omnivore","Forest",1
"FOSP",-1.26803164390748,0.857780444379505,9.10976386502138e-05,0.0147884234266526,0.0601231236939074,0.805706245069928,"Apparantly stable","Discovery Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",33.3,"Omnivore","Omnivore","Forest",1
"GADW",-1.88621268642507,0.995225587116812,0.0255008825504377,-1.35040984217975,0.19799612591504,9.07967350825335e-12,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",915.6,"Herbivore","Herbivore aquatic","Wetland",3
"GBHE",-1.18108543248907,0.773500672457426,0.00268552361854163,0.0636251772695284,0.0658201134304775,0.333717779527297,"Apparantly stable","Discovery Park","Wetland","Widespread","Ardeidae","waterbird","other","M","native",2523.4,"Carnivore","Aquatic predator","Wetland",3
