"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"SAND",-1.97119032147086,0.994784750710738,0.035995724866628,-1.53509727672264,0.423875476138729,0.000292813687799009,"Apparantly stable","Discovery Park","Arctic Tundra","Coastal","Scolopacidae","shorebird","other","M","native",51.7,"Carnivore","Aquatic predator","Coastal",3
"SAVS",-1.52331964461953,0.974574108635551,0.00525233738776217,-0.265574388369589,0.0565725776491638,2.67388526071686e-06,"Apparantly stable","Discovery Park","Grassland","Temperate North America","Passerellidae","landbird","other","M","native",20,"Omnivore","Omnivore","Grassland",3
"SBIG",-1.84471447763346,0.995899475173623,5.46133448699548e-05,0.0674338011666575,0.0645919824762752,0.296487026618675,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",412.5,"Carnivore","Omnivore","Coastal",3
"SOSP",-0.668748009786796,0.688039837489225,0.00450866410880168,-0.0702461210511052,0.0209824901976779,0.000814426015949691,"Apparantly stable","Discovery Park","Habitat Generalist","Temperate North America","Passerellidae","landbird","other","M","native",21.9,"Omnivore","Omnivore","Shrubland",2
"SPTO",-0.811567857862642,0.615980064609852,0.00178488600532711,-0.0398360558715657,0.0224926320503154,0.076548840065526,"Apparantly stable","Discovery Park","Western Forest","Temperate North America","Passerellidae","landbird","other","M","native",39.3,"Omnivore","Omnivore","Forest",2
"SSHA",-1.15002204781891,NA,0.546289895661917,-0.641165777928696,0.258877430429204,0.0132597502292575,"Decreasing","Discovery Park","Forest Generalist","Widespread","Accipitridae","landbird","other","M","native",130.6,"Carnivore","Vertivore","Forest",1
"STJA",-1.14076486935565,0.720698344370446,0.0341440646118614,-0.204300218191814,0.0477569153359507,1.88648589654663e-05,"Apparantly stable","Discovery Park","Western Forest","Temperate North America","Corvidae","landbird","other","R","native",128,"Omnivore","Omnivore","Forest",1
"SUSC",-1.90542927581996,0.995281572633969,8.36980744868899e-07,0.00778228393996544,0.106495836628066,0.941745683280751,"Apparantly stable","Discovery Park","Wetland","Marine","Anatidae","waterfowl","other","M","native",1096.3,"Carnivore","Aquatic predator","Wetland",3
"SWTH",-1.26865348818722,0.755011770084252,0.0159583645166756,0.149131558416839,0.0537025103195612,0.00548641619730909,"Apparantly stable","Discovery Park","Forest Generalist","South America","Turdidae","landbird","other","M","native",30.3,"Omnivore","Invertivore","Forest",1
"TOWA",-1.15957549070451,0.486731117638677,0.0948015245099731,0.251121078974784,0.125833436463824,0.0459706640769916,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Parulidae","landbird","other","M","native",8.8,"Carnivore","Invertivore","Forest",1
"TRES",-1.32060128689858,0.894909329053964,0.246955041740053,-0.895725301378411,0.178450788731402,5.18188902207858e-07,"Decreasing","Discovery Park","Habitat Generalist","Widespread","Hirundinidae","landbird","AI","M","native",21.2,"Carnivore","Invertivore","Wetland",3
"VASW",-1.40618467748627,0.777395539897269,0.0806617983074685,-0.351734521578489,0.262415350854964,0.180124021852658,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Apodidae","landbird","AI","M","native",17.1,"Carnivore","Invertivore","Forest",1
"VATH",-1.19216585189011,0.738683489992234,0.00301692638087027,0.0627837001701552,0.0465473650718556,0.177396975599753,"Apparantly stable","Discovery Park","Western Forest","Temperate North America","Turdidae","landbird","other","M","native",77.5,"Omnivore","Omnivore","Forest",1
"VESC",-1.94472048315663,0.994249302590963,0.0111229577040513,-0.812639372988213,0.257842363303032,0.00162328135868122,"Apparantly stable","Discovery Park","Wetland","Marine","Anatidae","waterfowl","other","M","native",1800.2,"Carnivore","Aquatic predator","Wetland",3
"VGSW",-1.30132492597979,0.811955070023376,0.110728946076733,-0.448381560983534,0.086799191713723,2.39496819447224e-07,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Hirundinidae","landbird","AI","M","native",14.1,"Carnivore","Invertivore","Forest",3
"WAVI",-1.19669921651032,0.680962981052276,0.0420757303231012,0.212198968202299,0.0686158418350196,0.00198434603128516,"Apparantly stable","Discovery Park","Forest Generalist","Mexico-Central America","Vireonidae","landbird","other","M","native",12.7,"Carnivore","Invertivore","Forest",1
"WCSP",-1.29988167533579,0.939228223015397,0.0103742989200985,-0.241421746119551,0.0425465094083597,1.39255226058685e-08,"Apparantly stable","Discovery Park","Habitat Generalist","Temperate North America","Passerellidae","landbird","other","M","native",28,"Omnivore","Omnivore","Shrubland",2
"WEFL",-1.26113595489373,0.855194850935702,0.0715413401399104,0.410709273344047,0.0419274132541091,1.17455561769822e-22,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Tyrannidae","landbird","other","M","native",10.7,"Carnivore","Invertivore","Forest",1
"WEGR",-1.85062154742521,0.994890273926741,0.0302439171921406,-1.4215697928561,0.310746682659405,4.76925250061433e-06,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Podicipedidae","waterbird","other","M","native",1137,"Carnivore","Aquatic predator","Wetland",3
"WESA",-1.9756414722963,0.995487187040938,0.00802238585434891,-0.779069284151233,0.525439027428105,0.138153710628807,"Apparantly stable","Discovery Park","Arctic Tundra","Widespread","Scolopacidae","shorebird","other","M","native",27.8,"Carnivore","Aquatic predator","Shrubland",3
"WETA",-1.29079311554768,0.651405702240637,0.0437881930010625,0.207093442857255,0.12551878665921,0.0989633960392036,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Cardinalidae","landbird","other","M","native",28.1,"Carnivore","Invertivore","Forest",1
"WEWP",-1.17504498871716,0.535652654441935,0.0084046996423799,-0.0786117729187467,0.139344612474275,0.572649562856026,"Apparantly stable","Discovery Park","Western Forest","South America","Tyrannidae","landbird","AI","M","native",13.1,"Carnivore","Invertivore","Forest",1
"WIFL",-1.6038470634042,0.898503078744825,0.013317657808355,-0.211658379690641,0.151078522011441,0.161219278137845,"Apparantly stable","Discovery Park","Eastern Forest","Widespread Neotropical","Tyrannidae","landbird","other","M","native",13.4,"Carnivore","Invertivore","Shrubland",2
"WIWA",-1.16914259463645,0.647720482292978,0.063523062546501,0.248124696644585,0.0532854393976825,3.21599567800734e-06,"Apparantly stable","Discovery Park","Forest Generalist","Mexico-Central America","Parulidae","landbird","other","M","native",7,"Carnivore","Invertivore","Forest",1
"YEWA",-1.1808459362876,0.408622957263351,0.0160958889947495,-0.0963991554893049,0.153997252564671,0.531328249907895,"Apparantly stable","Discovery Park","Forest Generalist","Widespread Neotropical","Parulidae","landbird","other","M","native",10.2,"Carnivore","Invertivore","Shrubland",1
"YRWA",-1.22168389535966,0.710437078032555,1.45755839416501e-05,0.00414561991525615,0.0650231056496509,0.949164430685493,"Apparantly stable","Discovery Park","Forest Generalist","Widespread","Parulidae","landbird","other","M","native",11.9,"Carnivore","Invertivore","Forest",1
"ABDU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",1241,"Omnivore","Herbivore aquatic","Wetland",3
"ABOW",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Widespread","Tytonidae","landbird","other","R","native",403.3,"Carnivore","Vertivore","Human Modified",3
"AMPI",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Temperate North America","Motacillidae","landbird","other","M","native",20.7,"Carnivore","Invertivore","Grassland",3
"BASA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","South America","Scolopacidae","shorebird","other","M","native",41,"Carnivore","Aquatic predator","Grassland",3
"BLJA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Eastern Forest","Temperate North America","Corvidae","landbird","other","M","native",88,"Omnivore","Omnivore","Woodland",2
"BLSW",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","South America","Apodidae","landbird","AI","M","native",39.7,"Carnivore","Invertivore","Forest",1
"BRBL",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Temperate North America","Icteridae","landbird","other","M","native",62.5,"Carnivore","Omnivore","Human Modified",3
"BUOR",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","Mexico-Central America","Icteridae","landbird","other","M","native",37.9,"Carnivore","Invertivore","Forest",2
"CACG",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Temperate North America","Anatidae","waterfowl","other","M","native",2811.7,"Herbivore","Herbivore terrestrial","Grassland",3
"CASJ",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","Temperate North America","Corvidae","landbird","other","R","native",85.7,"Omnivore","Omnivore","Shrubland",2
"COMU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Coasts","Marine","Alcidae","waterbird","other","M","native",991.9,"Carnivore","Aquatic predator","Marine",3
"COTE",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Coastal","Laridae","waterbird","other","M","native",129.2,"Carnivore","Aquatic predator","Marine",3
"DUNL",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Widespread","Scolopacidae","shorebird","other","M","native",51.9,"Carnivore","Aquatic predator","Wetland",3
"GWFG",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Temperate North America","Anatidae","waterfowl","other","M","native",2506.4,"Herbivore","Herbivore terrestrial","Grassland",3
"GWTE",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",341.9,"Herbivore","Herbivore aquatic","Wetland",3
"HADU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Marine","Anatidae","waterfowl","other","M","native",561.6,"Carnivore","Aquatic predator","Marine",3
"HEWA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","Mexico-Central America","Parulidae","landbird","other","M","native",10.4,"Carnivore","Invertivore","Forest",1
"ICGU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Coastal","Laridae","waterbird","other","M","native",693.31,"Carnivore","Aquatic predator","Coastal",3
"LASP",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Grassland","Mexico-Central America","Passerellidae","landbird","other","M","native",29,"Herbivore","Granivore","Shrubland",3
"LAZB",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","Mexico-Central America","Cardinalidae","landbird","other","M","native",15.5,"Herbivore","Omnivore","Shrubland",2
"LESA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Widespread","Scolopacidae","shorebird","other","M","native",22.9,"Carnivore","Aquatic predator","Wetland",3
"LTDU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Marine","Anatidae","waterfowl","other","M","native",871,"Carnivore","Aquatic predator","Wetland",3
"MAWR",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Troglodytidae","landbird","other","M","native",10.8,"Carnivore","Invertivore","Wetland",3
"NAWA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Boreal Forest","Mexico-Central America","Parulidae","landbird","other","M","native",8.1,"Carnivore","Invertivore","Forest",3
"NHWR",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Forest Generalist","Temperate North America","Troglodytidae","landbird","other","M","native",10.9,"Carnivore","Invertivore","Shrubland",3
"NOHA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Temperate North America","Accipitridae","landbird","other","M","native",393,"Carnivore","Vertivore","Grassland",3
"NOMO",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Temperate North America","Mimidae","landbird","other","M","native",48.5,"Omnivore","Omnivore","Shrubland",2
"NOPI",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",944.6,"Herbivore","Herbivore aquatic","Wetland",3
"NSWO",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Forest Generalist","Temperate North America","Strigidae","landbird","other","M","native",100.7,"Carnivore","Vertivore","Forest",2
"PAJA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Widespread","Stercorariidae","waterbird","other","M","native",444.3,"Carnivore","Aquatic predator","Marine",3
"PALO",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Marine","Gaviidae","waterbird","other","M","native",2251.1,"Carnivore","Aquatic predator","Wetland",3
"PESA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","South America","Scolopacidae","shorebird","other","M","native",79.7,"Carnivore","Aquatic predator","Wetland",3
"RNDU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",704.6,"Omnivore","Herbivore aquatic","Wetland",3
"SAPH",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Southwestern Aridlands","Tyrannidae","landbird","other","M","native",20.9,"Carnivore","Invertivore","Forest",3
"SEOW",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Temperate North America","Strigidae","landbird","other","M","native",322.6,"Carnivore","Vertivore","Grassland",3
"SNGO",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Arctic Tundra","Temperate North America","Anatidae","waterfowl","other","M","native",2636.2,"Herbivore","Herbivore terrestrial","Grassland",3
"SPSA",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Widespread","Scolopacidae","shorebird","other","M","native",40.4,"Carnivore","Aquatic predator","Wetland",3
"TOSO",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","Temperate North America","Turdidae","landbird","other","M","native",33.2,"Omnivore","Omnivore","Forest",2
"TRUS",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",11071.1,"Herbivore","Herbivore aquatic","Wetland",3
"TUVU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Habitat Generalist","Widespread","Cathartidae","landbird","other","M","native",1518.2,"Scavenger","Scavenger","Human Modified",3
"WEBL",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Western Forest","Temperate North America","Turdidae","landbird","other","M","native",26.4,"Omnivore","Omnivore","Woodland",3
"WEGU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Coasts","Coastal","Laridae","waterbird","other","M","native",922.8,"Carnivore","Omnivore","Marine",3
"WEME",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Grassland","Southwestern Aridlands","Icteridae","landbird","other","M","native",100.1,"Omnivore","Invertivore","Grassland",3
"WODU",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",657.6,"Herbivore","Omnivore","Wetland",3
"WTSP",NA,NA,NA,NA,NA,NA,"Data deficient","Discovery Park","Boreal Forest","Temperate North America","Passerellidae","landbird","other","M","native",24.4,"Herbivore","Omnivore","Woodland",2
"AGOL",-1.23313643782081,0.814109640324572,0.117725945302565,-0.426178314266529,0.250556495646197,0.088956691528173,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.8,"Herbivore","Granivore","Forest",1
"AMCO",-1.85625871656328,0.99767693401989,0.000331203271772633,-0.202208880414637,0.15445349187853,0.190470188661785,"Apparantly stable","Genesee Park","Wetland","Widespread","Rallidae","waterbird","other","M","native",636.7,"Herbivore","Herbivore aquatic","Wetland",3
"AMCR",-1.17218242944788,0.66281712868141,0.226902392472045,0.439309376829364,0.0728699444360895,1.65307024826951e-09,"Increasing","Genesee Park","Habitat Generalist","Temperate North America","Corvidae","landbird","other","M","native",448.8,"Omnivore","Omnivore","Human Modified",2
"AMRO",-1.15663812096986,0.827530940376979,0.0188279206081014,-0.176941322663175,0.0846387313590227,0.0365686096716325,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",78.5,"Omnivore","Invertivore","Forest",3
"AMWI",-1.65184556371648,0.991205585362999,0.000110369018557547,0.0599934461350033,0.14425847090403,0.677501704636643,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",754.6,"Herbivore","Omnivore","Wetland",3
"ANHU",-1.01175519728961,0.912968160323005,0.0719023101622678,0.486761284073661,0.103475845212619,2.54981482743618e-06,"Apparantly stable","Genesee Park","Aridlands","Temperate North America","Trochilidae","landbird","other","M","native",4.2,"Herbivore","Nectarivore","Woodland",2
"BAEA",-1.12589712692928,0.80496746682895,0.000517386421212333,0.027582756807169,0.173693755020607,0.873825593716646,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Accipitridae","landbird","other","M","native",4700.6,"Carnivore","Omnivore","Wetland",3
"BARS",-1.24703695880263,0.771219424158304,0.0729285962927207,-0.302359097766139,0.0997586259628783,0.00243820495932615,"Apparantly stable","Genesee Park","Habitat Generalist","South America","Hirundinidae","landbird","AI","M","native",17.9,"Carnivore","Invertivore","Human Modified",3
"BCCH",-0.83935901647154,0.932846637113943,0.061634813569558,0.513053728660857,0.0999057597300652,2.81579171334589e-07,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Paridae","landbird","other","R","native",10.8,"Omnivore","Invertivore","Forest",1
"BEKI",-1.60921734741602,0.917939008684394,0.0140070525254778,-0.221252754913067,0.369051118910265,0.548827571502993,"Apparantly stable","Genesee Park","Wetland","Widespread","Alcedinidae","landbird","other","M","native",148,"Carnivore","Aquatic predator","Riverine",3
"BEWR",-1.54297315694479,0.968660899016316,0.00397034696963464,0.190613937108608,0.113553130052942,0.0932237528744981,"Apparantly stable","Genesee Park","Aridlands","Temperate North America","Troglodytidae","landbird","other","R","native",9.9,"Carnivore","Invertivore","Shrubland",2
"BHCO",-0.98273389945094,NA,0.38031331369744,-0.419535165807588,0.31227296531268,0.179113818244627,"Apparantly stable","Genesee Park","Habitat Generalist","Temperate North America","Icteridae","landbird","other","M","native",40.3,"Carnivore","Invertivore","Forest",2
"BUFF",-1.93804899563249,0.997964415976626,1.33868620553602e-05,-0.0434288735863351,0.141211304844834,0.758428345602419,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",397.5,"Carnivore","Aquatic predator","Wetland",3
"BUSH",-1.1968143485628,0.869523231084121,0.02191841843023,-0.219493517284694,0.190100386631125,0.248246484776316,"Apparantly stable","Genesee Park","Western Forest","Temperate North America","Aegithalidae","landbird","other","R","native",5.3,"Carnivore","Invertivore","Woodland",2
"CAGU",-1.74882057192482,0.995089434172332,1.74904054278395e-05,0.0319608159017347,0.130050148277628,0.805869859527965,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",683.4,"Omnivore","Omnivore","Coastal",3
"CANG",-1.27905994592846,0.976069622230502,0.0185340649967042,0.471296540073511,0.143459026311675,0.00101897532054633,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",2811.7,"Herbivore","Herbivore terrestrial","Grassland",3
"CANV",-1.75753239546936,0.996012934135448,0.00921744269157256,-0.814258322029843,0.338174307423316,0.0160486811589513,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",1202,"Herbivore","Herbivore aquatic","Wetland",3
"CATE",-0.867845524800281,0.881523632231495,0.179576460564597,0.659314346550427,0.244519627396965,0.00701006501131334,"Apparantly stable","Genesee Park","Coasts","Widespread","Laridae","waterbird","other","M","native",655,"Carnivore","Aquatic predator","Wetland",3
"CBCH",-1.41588237370601,0.801527340686025,0.584128236221041,0.918729038757695,0.396262923335205,0.020423060135541,"Increasing","Genesee Park","Western Forest","Temperate North America","Paridae","landbird","other","R","native",9.4,"Omnivore","Invertivore","Forest",1
"CEDW",-1.28070530208996,0.870426636547424,0.133958971571705,-0.544517352308192,0.259372194358286,0.0357845862551502,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Bombycillidae","landbird","other","M","native",31.6,"Herbivore","Frugivore","Woodland",2
"COGO",-1.7405852657737,0.997011692462896,0.000869012933846147,-0.288791338036817,0.203006729422036,0.154860767292776,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",918.6,"Carnivore","Aquatic predator","Wetland",3
"COHA",-1.27707343568459,NA,0.91458533949066,1.75238527860242,0.650361509812561,0.00704988184044648,"Increasing","Genesee Park","Forest Generalist","Widespread","Accipitridae","landbird","other","M","native",429.7,"Carnivore","Vertivore","Woodland",2
"COME",-1.91918417378105,0.997597213721385,1.11016477678922e-06,-0.0115111798212524,0.156100247240145,0.941215498182244,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",1451,"Carnivore","Aquatic predator","Riverine",3
"DCCO",-1.54723320570819,0.972309281501956,0.000548739286562689,0.0753875453476595,0.135891008827169,0.57905556173196,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Phalacrocoracidae","waterbird","other","M","native",1806.49,"Carnivore","Aquatic predator","Marine",3
"DEJU",-1.34371347606252,0.818799713950358,0.408334371474102,0.803918860233314,0.218468511408972,0.000233423516527765,"Increasing","Genesee Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",19.5,"Herbivore","Granivore","Forest",2
"DOWO",-1.04932763009783,0.580070077995952,0.0118401797769601,-0.0899237533140317,0.27211145948873,0.741047413255877,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",25.6,"Carnivore","Invertivore","Woodland",2
"EUST",-0.74016367112061,0.627014200048977,0.397766608665163,-0.553033831991599,0.0939869718436443,4.00094775551993e-09,"Decreasing","Genesee Park","Introduced","Introduced","Sturnidae","other","other","Introduced","Introduced",77.1,"Omnivore","Omnivore","Human Modified",3
"GADW",-0.772163378496448,0.955246096928229,0.00110256849005673,-0.0840564448780726,0.124651083794295,0.500099089923302,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",915.6,"Herbivore","Herbivore aquatic","Wetland",3
"GBHE",-1.3267739334797,0.864854013026261,1.37318692302465e-05,-0.00539817475967954,0.194199867567717,0.977824054417792,"Apparantly stable","Genesee Park","Wetland","Widespread","Ardeidae","waterbird","other","M","native",2523.4,"Carnivore","Aquatic predator","Wetland",3
"GCKI",-1.09729034560117,0.896658666855855,0.0282050729637454,0.27977588085365,0.265122638192118,0.291302005067151,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Regulidae","landbird","other","M","native",6.2,"Carnivore","Invertivore","Forest",1
"GCSP",-1.37221561827957,0.830494662092395,0.0285787359105399,0.219894064060686,0.305433851540489,0.471561904272144,"Apparantly stable","Genesee Park","Arctic Tundra","Temperate North America","Passerellidae","landbird","other","M","native",32,"Herbivore","Omnivore","Shrubland",2
"GWGU",-1.02318259832408,0.956810186360037,0.000593532731348257,0.0627791396643328,0.116069859161855,0.588594607097154,"Apparantly stable","Genesee Park","Coasts","Coastal","Laridae","waterbird","other","M","native",1056.5,"Carnivore","Aquatic predator","Coastal",3
"HOFI",-1.04314199365504,0.699292548854061,0.260395029194322,0.498342513020104,0.150706194394009,0.000943967016287904,"Increasing","Genesee Park","Habitat Generalist","Widespread","Fringillidae","landbird","other","R","native",21.4,"Herbivore","Granivore","Shrubland",2
"HOGR",-1.75015853838603,0.997065369630104,0.000120111087477136,-0.108342420394808,0.193003141332388,0.574558584442059,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Podicipedidae","waterbird","other","M","native",453,"Carnivore","Aquatic predator","Wetland",3
"HOME",-1.8558604101956,0.996919606300427,0.00524591773606392,-0.698861816377806,0.239898720374065,0.00357798580941235,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",613.8,"Carnivore","Aquatic predator","Wetland",3
"HOSP",-0.406981714730063,0.866338859218244,0.862880803048023,-1.36068159282507,0.309229004111711,1.08131604612457e-05,"Decreasing","Genesee Park","Introduced","Introduced","Passeridae","other","other","Introduced","Introduced",26.5,"Herbivore","Granivore","Human Modified",3
"LESC",-1.79579100982416,0.996814830056752,0.00840865952497047,-0.870123238097181,0.268805792234197,0.00120795161825814,"Apparantly stable","Genesee Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",819.5,"Omnivore","Aquatic predator","Wetland",3
"MALL",-1.08122260173346,0.960781872639165,0.0300500219720708,0.468773074441056,0.113198501224625,3.45554214123113e-05,"Apparantly stable","Genesee Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",843.4,"Herbivore","Herbivore aquatic","Wetland",3
"MERL",-1.15831187029591,0.486453355105126,0.181967033379346,0.318779288657972,0.414344254061176,0.441680496429237,"Apparantly stable","Genesee Park","Habitat Generalist","Widespread","Falconidae","landbird","other","M","native",188.5,"Carnivore","Vertivore","Woodland",3
"NA",-1.75398656497284,0.985724704458398,0.898566192785304,4.24879885359127,1.08654991494708,9.21595317084566e-05,"Increasing","Genesee Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOFL",-1.14958999753512,0.904888077721186,0.00153470018663804,-0.0680264771987278,0.098055539034243,0.487836144488078,"Apparantly stable","Genesee Park","Forest Generalist","Widespread","Picidae","landbird","other","M","native",131.5,"Carnivore","Invertivore","Shrubland",2
"OCWA",-1.51278216109738,0.867400364490025,0.0579624178652554,-0.354067259481167,0.434130735905117,0.414741823488743,"Apparantly stable","Genesee Park","Forest Generalist","Temperate North America","Parulidae","landbird","other","M","native",9.2,"Carnivore","Invertivore","Shrubland",1
"OSPR",-1.27714670988286,0.870039879750215,0.000307163663001668,-0.0260353580487206,0.178420222164214,0.883983307386603,"Apparantly stable","Genesee Park","Coasts","Widespread","Pandionidae","landbird","other","M","native",1483.2,"Carnivore","Aquatic predator","Marine",3
"PAWR",-1.412538059863,0.858023936265086,5.07004700930592e-05,0.0101200373493059,0.410803243115164,0.98034629702602,"Apparantly stable","Genesee Park","Western Forest","Temperate North America","Troglodytidae","landbird","other","M","native",9.4,"Carnivore","Invertivore","Forest",1
"PBGR",-1.60604209972388,0.997076199039447,0.000698816895499002,-0.261813166880916,0.196882688243211,0.183586572932794,"Apparantly stable","Genesee Park","Wetland","Widespread","Podicipedidae","waterbird","other","M","native",411.9,"Carnivore","Aquatic predator","Wetland",3
"RBGU",-1.42576005852206,0.947484001441008,0.00224814348189211,-0.110802583537765,0.123668565448977,0.370271986455795,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",516.3,"Carnivore","Omnivore","Coastal",3
"RCKI",-1.4018171765132,0.925989824835184,0.00484662064393056,0.137043198355169,0.177259241644884,0.439449584868551,"Apparantly stable","Genesee Park","Boreal Forest","Temperate North America","Regulidae","landbird","other","M","native",6.19,"Carnivore","Invertivore","Forest",1
"RNDU",-1.89430634177433,0.997818361329023,0.000980556160256013,-0.359028159331644,0.151910972783792,0.0181075447551049,"Apparantly stable","Genesee Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",704.6,"Omnivore","Herbivore aquatic","Wetland",3
"RNGR",-1.9011317364885,0.995556033255533,0.0636481235782574,-2.02670757198194,0.703960443805433,0.00398928533188928,"Apparantly stable","Genesee Park","Wetland","Marine","Podicipedidae","waterbird","other","M","native",1023,"Carnivore","Aquatic predator","Wetland",3
