PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2731869.536249999888241,3904054.691875000018626,3535930.428125000093132,3913742.172499999869615,513436.473125000018626,203437.093125000013970,145312.209375000005821,397186.705625000002328,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4843740.312500000000000,1985933.528124999953434,3778117.443750000093132,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10772478.455000000074506,8554045.391875000670552,7943734.112499999813735,7013735.972500000149012,1259372.481249999953434,494061.511875000025611,3051556.396875000093132,687811.124375000013970,5531551.436874999664724,174374.651249999995343,474686.550625000032596,2266870.466250000055879,900935.698124999995343,406874.186250000027940
Genesee Park,2150620.698749999981374,1114060.271875000093132,1985933.528124999953434,3148431.203125000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4630615.738750000484288,1859996.280000000027940,2073120.853750000009313,2179683.140625000000000,184062.131874999991851,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1869683.760625000111759,87187.325624999997672,1143122.713750000111759,1104372.791250000009313,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3923429.653125000186265,1869683.760625000111759,2150620.698749999981374,3719992.560000000055879,48437.403124999997090,213124.573750000010477,0.000000000000000,2576869.846249999944121,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8098733.802500000223517,5434676.630625000223517,5647801.204374999739230,4407803.684375000186265,1162497.675000000046566,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,406874.186250000027940,0.000000000000000,9687.480625000000146
Seward Park,9890917.718125000596046,1763121.473750000121072,1462809.574375000083819,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,5027802.444374999962747,1307809.884374999906868,38749.922500000000582,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7517484.964999999850988,3332493.334999999962747,1918121.163750000065193,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
