PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2731869.536249999888241,3904054.691875000018626,3516555.466874999925494,3923429.653125000186265,513436.473125000018626,203437.093125000013970,145312.209375000005821,397186.705625000002328,3293743.412500000093132,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4940615.118750000372529,2247495.504999999888241,3555305.389375000260770,348749.302499999990687,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10694978.609999999403954,8612170.275624999776483,8185921.128124999813735,7691859.616249999962747,1094685.310624999925494,503748.992499999993015,2828744.342500000260770,697498.604999999981374,5521863.956249999813735,154999.690000000002328,19374.961250000000291,2189370.621249999850988,900935.698124999995343,435936.628124999988358
Genesee Park,2160308.179374999832362,1114060.271875000093132,2005308.489375000121072,3119368.761249999981374,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4649990.700000000186265,1821246.357499999925494,2140933.218125000130385,2092495.814999999944121,154999.690000000002328,19374.961250000000291,9687.480625000000146,377811.744375000009313,639373.721250000060536,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3923429.653125000186265,1859996.280000000027940,2169995.660000000149012,3671555.156874999869615,48437.403124999997090,222812.054375000006985,0.000000000000000,2605932.288124999962747,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8079358.841250000521541,5153739.692499999888241,5550926.398125000298023,3981554.536875000223517,1269059.961875000037253,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,1123747.752499999944121,0.000000000000000,9687.480625000000146
Seward Park,9987792.524375000968575,1821246.357499999925494,1404684.690625000046566,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4940615.118750000372529,1288434.923124999972060,19374.961250000000291,9687.480625000000146,0.000000000000000,9687.480625000000146,116249.767500000001746
Washington Park Arboretum,0.000000000000000,7643422.213124999776483,3225931.048125000204891,1898746.202500000130385,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
