PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2702807.094374999869615,3904054.691875000018626,3535930.428125000093132,3913742.172499999869615,513436.473125000018626,251874.496249999996508,145312.209375000005821,368124.263749999983702,3293743.412500000093132,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4950302.599375000223517,2276557.946874999906868,3516555.466874999925494,348749.302499999990687,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10714353.571250000968575,8631545.236874999478459,8185921.128124999813735,7701547.096874999813735,1075310.349374999990687,445624.108750000013970,2819056.861874999944121,765310.969374999986030,5473426.553124999627471,135624.728750000009313,19374.961250000000291,2208745.582500000018626,900935.698124999995343,455311.589374999981374
Genesee Park,2150620.698749999981374,1114060.271875000093132,2005308.489375000121072,3129056.241874999832362,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4620928.258124999701977,1830933.838125000009313,2169995.660000000149012,2082808.334375000093132,135624.728750000009313,38749.922500000000582,9687.480625000000146,377811.744375000009313,639373.721250000060536,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3904054.691875000018626,1879371.241249999962747,2102183.295625000260770,3739367.521250000223517,48437.403124999997090,232499.535000000003492,0.000000000000000,2596244.807500000111759,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8137483.725000000558794,5066552.366875000298023,5521863.956249999813735,3933117.133750000037253,1269059.961875000037253,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9687.480625000000146,0.000000000000000,1239997.520000000018626,0.000000000000000,9687.480625000000146
Seward Park,10016854.966250000521541,1811558.876875000074506,1404684.690625000046566,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4940615.118750000372529,1288434.923124999972060,9687.480625000000146,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7643422.213124999776483,3206556.086875000037253,1918121.163750000065193,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
