PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2731869.536249999888241,3904054.691875000018626,3535930.428125000093132,3923429.653125000186265,513436.473125000018626,193749.612499999988358,145312.209375000005821,397186.705625000002328,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4843740.312500000000000,1995621.008750000037253,3768429.963125000242144,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10908103.183749999850988,8544357.911250000819564,7963109.073750000447035,7004048.491875000298023,1259372.481249999953434,406874.186250000027940,3051556.396875000093132,687811.124375000013970,5531551.436874999664724,164687.170624999998836,445624.108750000013970,2266870.466250000055879,900935.698124999995343,397186.705625000002328
Genesee Park,2150620.698749999981374,1114060.271875000093132,1995621.008750000037253,3138743.722500000149012,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4640303.219375000335276,1859996.280000000027940,2053745.892500000074506,2199058.101875000167638,174374.651249999995343,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1152810.194374999962747,1104372.791250000009313,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3923429.653125000186265,1869683.760625000111759,2150620.698749999981374,3719992.560000000055879,48437.403124999997090,213124.573750000010477,0.000000000000000,2576869.846249999944121,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8108421.283125000074506,5376551.746875000186265,5686551.126875000074506,4378741.242499999701977,1181872.636249999981374,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,426249.147500000020955,0.000000000000000,9687.480625000000146
Seward Park,9910292.679375000298023,1763121.473750000121072,1453122.093750000000000,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,5027802.444374999962747,1307809.884374999906868,9687.480625000000146,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7527172.445624999701977,3322805.854375000111759,1918121.163750000065193,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
