PARK,YEAR,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Genesee Park,2009,2160308.179,1114060.272,1985933.528,3138743.723,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2009,4640303.219,1792183.916,2092495.815,2179683.141,154999.69,19374.96125,9687.480625,377811.7444,639373.7213,0,0,0,38749.9225,9687.480625
Lake Forest Park,2009,1859996.28,87187.32562,1133435.233,1123747.752,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2009,3942804.614,1889058.722,2160308.179,3681242.638,48437.40312,222812.0544,0,2557494.885,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2009,8166546.167,4921240.157,5725301.049,4398116.204,1201247.597,0,0,0,0,9687.480625,0,755623.4888,0,9687.480625
Seward Park,2009,9919980.16,1821246.357,1424059.652,649061.2019,0,0,0,4979365.041,1298122.404,29062.44188,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2009,0,7594984.81,3274368.451,1898746.203,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2010,2731869.536,3913742.172,3526242.948,3913742.172,513436.4731,213124.5738,145312.2094,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2010,0,4853427.793,2034370.931,3719992.56,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2010,10879040.74,8650920.198,8166546.167,7604672.291,1094685.311,406874.1863,2915931.668,658748.6825,5521863.956,125937.2481,19374.96125,2150620.699,900935.6981,435936.6281
Genesee Park,2010,2140933.218,1114060.272,1995621.009,3148431.203,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2010,4620928.258,1869683.761,2082808.334,2208745.583,154999.69,19374.96125,9687.480625,329374.3412,610311.2794,0,0,0,38749.9225,9687.480625
Lake Forest Park,2010,1859996.28,87187.32562,1133435.233,1123747.752,513436.4731,0,0,0,0,0,0,0,0,0
