PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2615619.768749999813735,3962179.575625000055879,3516555.466874999925494,3894367.211250000167638,513436.473125000018626,280936.938124999986030,135624.728750000009313,416561.666874999995343,3284055.931875000242144,9687.480625000000146,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4795302.909374999813735,1937496.125000000000000,3855617.288749999832362,503748.992499999993015,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10539978.919999999925494,8418420.663125000894070,8176233.647499999962747,6684361.631250000558794,1065622.868749999906868,532811.434374999953434,3099993.799999999813735,784685.930625000037253,5512176.475624999962747,649061.201875000027940,19374.961250000000291,2673744.652499999850988,900935.698124999995343,474686.550625000032596
Genesee Park,2150620.698749999981374,1114060.271875000093132,2063433.373124999925494,3061243.877499999944121,9687.480625000000146,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4562803.374374999664724,1821246.357499999925494,2102183.295625000260770,2179683.140625000000000,242187.015625000000000,38749.922500000000582,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,96874.806249999994179,1143122.713750000111759,1104372.791250000009313,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3739367.521250000223517,1859996.280000000027940,2257182.985625000204891,3739367.521250000223517,58124.883750000000873,261561.976874999993015,0.000000000000000,2586557.326875000260770,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8127796.244374999776483,5734988.530000000260770,5764050.971874999813735,4369053.761874999850988,1123747.752499999944121,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,38749.922500000000582,0.000000000000000,9687.480625000000146
Seward Park,9949042.601874999701977,1763121.473750000121072,1404684.690625000046566,668436.163124999962747,0.000000000000000,0.000000000000000,0.000000000000000,5018114.963750000111759,1307809.884374999906868,38749.922500000000582,9687.480625000000146,0.000000000000000,9687.480625000000146,77499.845000000001164
Washington Park Arboretum,0.000000000000000,7401235.197499999776483,3545617.908749999944121,1821246.357499999925494,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
