PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2751244.497500000055879,3904054.691875000018626,3526242.947500000242144,3913742.172499999869615,513436.473125000018626,193749.612499999988358,145312.209375000005821,387499.224999999976717,3293743.412500000093132,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4853427.793124999850988,2073120.853750000009313,3690930.118125000037253,474686.550625000032596,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10869353.261250000447035,8689670.120625000447035,8185921.128124999813735,7604672.290625000372529,1104372.791250000009313,416561.666874999995343,2867494.265000000130385,649061.201875000027940,5512176.475624999962747,125937.248124999998254,19374.961250000000291,2150620.698749999981374,891248.217500000027940,445624.108750000013970
Genesee Park,2160308.179374999832362,1114060.271875000093132,1985933.528124999953434,3138743.722500000149012,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4640303.219375000335276,1792183.915625000139698,2092495.814999999944121,2179683.140625000000000,154999.690000000002328,19374.961250000000291,9687.480625000000146,377811.744375000009313,639373.721250000060536,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3942804.614374999888241,1889058.721875000046566,2160308.179374999832362,3681242.637500000186265,48437.403124999997090,222812.054375000006985,0.000000000000000,2557494.885000000242144,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8166546.166875000111759,4921240.157499999739230,5725301.049375000409782,4398116.203750000335276,1201247.597499999916181,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9687.480625000000146,0.000000000000000,755623.488750000018626,0.000000000000000,9687.480625000000146
Seward Park,9919980.160000000149012,1821246.357499999925494,1424059.651874999981374,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4979365.041249999776483,1298122.403750000055879,29062.441875000000437,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7594984.810000000521541,3274368.451249999925494,1898746.202500000130385,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
