PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2722182.055625000037253,3913742.172499999869615,3526242.947500000242144,3913742.172499999869615,513436.473125000018626,222812.054375000006985,145312.209375000005821,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4814677.870625000447035,2005308.489375000121072,3787804.924374999944121,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10791853.416249999776483,8583107.833750000223517,7895296.709375000558794,6984673.530624999664724,1298122.403750000055879,494061.511875000025611,3070931.358125000260770,678123.643750000046566,5531551.436874999664724,174374.651249999995343,474686.550625000032596,2247495.504999999888241,900935.698124999995343,406874.186250000027940
Genesee Park,2150620.698749999981374,1114060.271875000093132,2005308.489375000121072,3129056.241874999832362,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4591865.816250000149012,1850308.799374999944121,2092495.814999999944121,2199058.101875000167638,184062.131874999991851,29062.441875000000437,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1879371.241249999962747,87187.325624999997672,1123747.752499999944121,1114060.271875000093132,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3913742.172499999869615,1859996.280000000027940,2169995.660000000149012,3719992.560000000055879,48437.403124999997090,222812.054375000006985,0.000000000000000,2567182.365625000093132,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8147171.205625000409782,5424989.150000000372529,5618738.762500000186265,4407803.684375000186265,1162497.675000000046566,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,397186.705625000002328,0.000000000000000,9687.480625000000146
Seward Park,9890917.718125000596046,1772808.954374999972060,1462809.574375000083819,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,5008427.483125000260770,1317497.364999999990687,29062.441875000000437,9687.480625000000146,0.000000000000000,9687.480625000000146,116249.767500000001746
Washington Park Arboretum,0.000000000000000,7469047.561874999664724,3390618.218750000000000,1908433.683124999981374,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
