PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2751244.497500000055879,3904054.691875000018626,3516555.466874999925494,3923429.653125000186265,513436.473125000018626,203437.093125000013970,145312.209375000005821,368124.263749999983702,3293743.412500000093132,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,19374.961250000000291
Cheasty Greenspace,0.000000000000000,4872802.754375000484288,2189370.621249999850988,3613430.273124999832362,416561.666874999995343,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10830603.338750001043081,8592795.314375000074506,8205296.089375000447035,7720922.058125000447035,1075310.349374999990687,426249.147500000020955,2828744.342500000260770,658748.682499999995343,5521863.956249999813735,125937.248124999998254,19374.961250000000291,2189370.621249999850988,900935.698124999995343,435936.628124999988358
Genesee Park,2169995.660000000149012,1114060.271875000093132,1995621.008750000037253,3119368.761249999981374,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4620928.258124999701977,1811558.876875000074506,2111870.776250000111759,2160308.179374999832362,154999.690000000002328,19374.961250000000291,9687.480625000000146,377811.744375000009313,639373.721250000060536,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3904054.691875000018626,1859996.280000000027940,2160308.179374999832362,3710305.079375000204891,48437.403124999997090,213124.573750000010477,0.000000000000000,2605932.288124999962747,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8166546.166875000111759,5299051.901875000447035,5579988.839999999850988,3923429.653125000186265,1269059.961875000037253,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,939685.620624999981374,0.000000000000000,9687.480625000000146
Seward Park,9949042.601874999701977,1811558.876875000074506,1414372.171250000130385,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4969677.560624999925494,1288434.923124999972060,38749.922500000000582,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7633734.732499999925494,3235618.528750000055879,1898746.202500000130385,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
