PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2789994.419999999925494,3942804.614374999888241,3497180.505625000223517,3913742.172499999869615,513436.473125000018626,154999.690000000002328,145312.209375000005821,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4814677.870625000447035,1976246.047500000102445,3816867.366249999962747,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10869353.261250000447035,8263420.973125000484288,7943734.112499999813735,6887798.724375000223517,1191560.116875000065193,455311.589374999981374,3070931.358125000260770,668436.163124999962747,5521863.956249999813735,184062.131874999991851,435936.628124999988358,2741557.016875000204891,900935.698124999995343,397186.705625000002328
Genesee Park,2150620.698749999981374,1114060.271875000093132,2014995.969999999972060,3119368.761249999981374,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4659678.180625000037253,1850308.799374999944121,2053745.892500000074506,2169995.660000000149012,193749.612499999988358,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1114060.271875000093132,1143122.713750000111759,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3933117.133750000037253,1850308.799374999944121,2179683.140625000000000,3719992.560000000055879,48437.403124999997090,203437.093125000013970,0.000000000000000,2567182.365625000093132,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8147171.205625000409782,5541238.917500000447035,5628426.243125000037253,4436866.126249999739230,1133435.233125000027940,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,271249.457500000018626,0.000000000000000,9687.480625000000146
Seward Park,9919980.160000000149012,1763121.473750000121072,1433747.132500000065193,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,5008427.483125000260770,1317497.364999999990687,29062.441875000000437,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7449672.600624999962747,3448743.102500000037253,1869683.760625000111759,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
