PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2731869.536249999888241,3904054.691875000018626,3526242.947500000242144,3913742.172499999869615,513436.473125000018626,213124.573750000010477,145312.209375000005821,387499.224999999976717,3293743.412500000093132,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4853427.793124999850988,2092495.814999999944121,3671555.156874999869615,474686.550625000032596,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10724041.051875000819564,8679982.640000000596046,8156858.686250000260770,7691859.616249999962747,1104372.791250000009313,484374.031250000000000,2828744.342500000260770,658748.682499999995343,5521863.956249999813735,135624.728750000009313,19374.961250000000291,2160308.179374999832362,900935.698124999995343,464999.070000000006985
Genesee Park,2179683.140625000000000,1114060.271875000093132,1995621.008750000037253,3109681.280625000130385,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4620928.258124999701977,1792183.915625000139698,2092495.814999999944121,2189370.621249999850988,154999.690000000002328,29062.441875000000437,9687.480625000000146,377811.744375000009313,639373.721250000060536,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3874992.250000000000000,1850308.799374999944121,2189370.621249999850988,3710305.079375000204891,48437.403124999997090,222812.054375000006985,0.000000000000000,2605932.288124999962747,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8137483.725000000558794,4814677.870625000447035,5734988.530000000260770,4320616.358749999664724,1259372.481249999953434,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9687.480625000000146,0.000000000000000,900935.698124999995343,0.000000000000000,9687.480625000000146
Seward Park,9997480.005000000819564,1821246.357499999925494,1433747.132500000065193,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4911552.676874999888241,1288434.923124999972060,19374.961250000000291,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7624047.251875000074506,3245306.009374999906868,1898746.202500000130385,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
