PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2760931.978124999906868,3952492.095000000204891,3506867.986250000074506,3894367.211250000167638,513436.473125000018626,184062.131874999991851,145312.209375000005821,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4795302.909374999813735,1937496.125000000000000,3874992.250000000000000,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10782165.935624999925494,8360295.779374999925494,8195608.608749999664724,6703736.592500000260770,1114060.271875000093132,445624.108750000013970,3080618.838750000111759,697498.604999999981374,5502488.995000000111759,484374.031250000000000,164687.170624999998836,2673744.652499999850988,900935.698124999995343,426249.147500000020955
Genesee Park,2150620.698749999981374,1114060.271875000093132,2053745.892500000074506,3070931.358125000260770,9687.480625000000146,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4659678.180625000037253,1840621.318750000093132,2053745.892500000074506,2169995.660000000149012,203437.093125000013970,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1123747.752499999944121,1133435.233125000027940,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3884679.730624999850988,1859996.280000000027940,2199058.101875000167638,3719992.560000000055879,58124.883750000000873,213124.573750000010477,0.000000000000000,2567182.365625000093132,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8127796.244374999776483,5657488.685000000521541,5705926.088124999776483,4378741.242499999701977,1133435.233125000027940,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,154999.690000000002328,0.000000000000000,9687.480625000000146
Seward Park,9900605.198750000447035,1753433.993125000037253,1453122.093750000000000,658748.682499999995343,0.000000000000000,0.000000000000000,0.000000000000000,5008427.483125000260770,1307809.884374999906868,48437.403124999997090,9687.480625000000146,0.000000000000000,9687.480625000000146,96874.806249999994179
Washington Park Arboretum,0.000000000000000,7391547.716874999925494,3526242.947500000242144,1850308.799374999944121,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
