PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2751244.497500000055879,3933117.133750000037253,3516555.466874999925494,3904054.691875000018626,513436.473125000018626,193749.612499999988358,145312.209375000005821,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4795302.909374999813735,1966558.566875000018626,3845929.808124999981374,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10694978.609999999403954,8340920.818125000223517,8089046.321875000372529,6752173.995625000447035,1123747.752499999944121,503748.992499999993015,3080618.838750000111759,678123.643750000046566,5521863.956249999813735,377811.744375000009313,280936.938124999986030,2722182.055625000037253,900935.698124999995343,464999.070000000006985
Genesee Park,2150620.698749999981374,1114060.271875000093132,2024683.450625000055879,3099993.799999999813735,9687.480625000000146,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4582178.335625000298023,1840621.318750000093132,2082808.334375000093132,2199058.101875000167638,203437.093125000013970,38749.922500000000582,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1123747.752499999944121,1133435.233125000027940,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3797492.405000000260770,1859996.280000000027940,2218433.063124999869615,3719992.560000000055879,58124.883750000000873,232499.535000000003492,0.000000000000000,2615619.768749999813735,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8147171.205625000409782,5609051.281875000335276,5647801.204374999739230,4407803.684375000186265,1133435.233125000027940,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,213124.573750000010477,0.000000000000000,9687.480625000000146
Seward Park,9842480.314999999478459,1753433.993125000037253,1453122.093750000000000,658748.682499999995343,0.000000000000000,0.000000000000000,0.000000000000000,5056864.886250000447035,1317497.364999999990687,38749.922500000000582,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7449672.600624999962747,3468118.063750000204891,1850308.799374999944121,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
