PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2673744.652499999850988,3904054.691875000018626,3526242.947500000242144,3923429.653125000186265,513436.473125000018626,261561.976874999993015,145312.209375000005821,397186.705625000002328,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4843740.312500000000000,2034370.931250000139698,3729680.040624999906868,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10811228.377499999478459,8544357.911250000819564,8089046.321875000372529,7401235.197499999776483,1269059.961875000037253,397186.705625000002328,3041868.916250000242144,678123.643750000046566,5541238.917500000447035,154999.690000000002328,29062.441875000000437,2237808.024375000037253,900935.698124999995343,435936.628124999988358
Genesee Park,2160308.179374999832362,1114060.271875000093132,1985933.528124999953434,3138743.722500000149012,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4611240.777499999850988,1859996.280000000027940,2092495.814999999944121,2199058.101875000167638,164687.170624999998836,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1143122.713750000111759,1114060.271875000093132,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3797492.405000000260770,1869683.760625000111759,2189370.621249999850988,3729680.040624999906868,48437.403124999997090,251874.496249999996508,0.000000000000000,2615619.768749999813735,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8147171.205625000409782,5269989.459999999962747,5609051.281875000335276,4398116.203750000335276,1152810.194374999962747,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9687.480625000000146,0.000000000000000,590936.318124999990687,0.000000000000000,9687.480625000000146
Seward Park,10007167.485625000670552,1782496.435000000055879,1414372.171250000130385,649061.201875000027940,0.000000000000000,0.000000000000000,0.000000000000000,4959990.080000000074506,1298122.403750000055879,9687.480625000000146,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7546547.406875000335276,3303430.893124999944121,1918121.163750000065193,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
