PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2809369.381250000093132,3962179.575625000055879,3506867.986250000074506,3894367.211250000167638,513436.473125000018626,135624.728750000009313,135624.728750000009313,387499.224999999976717,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4795302.909374999813735,1937496.125000000000000,3865304.769375000149012,494061.511875000025611,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10927478.144999999552965,8399045.701874999329448,8176233.647499999962747,6664986.669999999925494,1065622.868749999906868,416561.666874999995343,3099993.799999999813735,649061.201875000027940,5512176.475624999962747,629686.240624999976717,19374.961250000000291,2673744.652499999850988,891248.217500000027940,406874.186250000027940
Genesee Park,2160308.179374999832362,1114060.271875000093132,2044058.411874999990687,3070931.358125000260770,9687.480625000000146,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4669365.661249999888241,1830933.838125000009313,2044058.411874999990687,2150620.698749999981374,232499.535000000003492,19374.961250000000291,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1869683.760625000111759,96874.806249999994179,1133435.233125000027940,1104372.791250000009313,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3952492.095000000204891,1859996.280000000027940,2189370.621249999850988,3681242.637500000186265,58124.883750000000873,213124.573750000010477,0.000000000000000,2547807.404374999925494,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8147171.205625000409782,5734988.530000000260770,5754363.491249999962747,4349678.800625000149012,1123747.752499999944121,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,48437.403124999997090,0.000000000000000,9687.480625000000146
Seward Park,9968417.563124999403954,1753433.993125000037253,1414372.171250000130385,668436.163124999962747,0.000000000000000,0.000000000000000,0.000000000000000,4989052.521874999627471,1307809.884374999906868,38749.922500000000582,9687.480625000000146,0.000000000000000,9687.480625000000146,87187.325624999997672
Washington Park Arboretum,0.000000000000000,7391547.716874999925494,3545617.908749999944121,1830933.838125000009313,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
