PARK,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Carkeek Park,2673744.652499999850988,3923429.653125000186265,3516555.466874999925494,3913742.172499999869615,513436.473125000018626,261561.976874999993015,145312.209375000005821,397186.705625000002328,3284055.931875000242144,0.000000000000000,0.000000000000000,0.000000000000000,1675934.148125000065193,9687.480625000000146
Cheasty Greenspace,0.000000000000000,4814677.870625000447035,1995621.008750000037253,3797492.405000000260770,484374.031250000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Discovery Park,10753103.493750000372529,8156858.686250000260770,7875921.748124999925494,6994361.011250000447035,1249685.000625000102445,484374.031250000000000,3070931.358125000260770,668436.163124999962747,5531551.436874999664724,184062.131874999991851,455311.589374999981374,2760931.978124999906868,900935.698124999995343,445624.108750000013970
Genesee Park,2131245.737499999813735,1114060.271875000093132,2024683.450625000055879,3129056.241874999832362,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Golden Gardens,4601553.296875000000000,1850308.799374999944121,2073120.853750000009313,2199058.101875000167638,193749.612499999988358,29062.441875000000437,9687.480625000000146,319686.860625000030268,629686.240624999976717,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582,9687.480625000000146
Lake Forest Park,1859996.280000000027940,87187.325624999997672,1133435.233125000027940,1123747.752499999944121,513436.473125000018626,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Lincoln Park,3855617.288749999832362,1850308.799374999944121,2179683.140625000000000,3739367.521250000223517,48437.403124999997090,242187.015625000000000,0.000000000000000,2586557.326875000260770,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38749.922500000000582
Magnuson Park,8118108.763749999925494,5502488.995000000111759,5638113.723749999888241,4427178.645624999888241,1152810.194374999962747,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19374.961250000000291,0.000000000000000,319686.860625000030268,0.000000000000000,9687.480625000000146
Seward Park,9871542.756875000894070,1763121.473750000121072,1443434.613124999916181,658748.682499999995343,0.000000000000000,0.000000000000000,0.000000000000000,5027802.444374999962747,1317497.364999999990687,38749.922500000000582,9687.480625000000146,0.000000000000000,9687.480625000000146,106562.286875000005239
Washington Park Arboretum,0.000000000000000,7449672.600624999962747,3429368.141249999869615,1889058.721875000046566,0.000000000000000,0.000000000000000,0.000000000000000,184062.131874999991851,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
