"station.code","AGOL","AMCR","AMRO","ANHU","BARS","BCCH","BEKI","BEWR","BHCO","BRCR","BTPI","BUSH","CATE","CBCH","CEDW","CLSW","COHA","CORA","DCCO","DEJU","DOWO","EUST","FOSP","GADW","GBHE","GCKI","GWGU","HETH","HOFI","HUVI","MALL","NOFL","OCWA","OSFL","PAWR","PISI","PUMA","RBNU","RCKI","RECR","RTHA","RWBL","SOSP","SPTO","STJA","SWTH","TOWA","VASW","VATH","VGSW","WEFL","WETA","WIWA","YEWA","YRWA","BAEA","BTYW","MERL","OSPR","PUFI","WAVI","BANS","BBWO","BHGR","BUFF","CANG","COME","GRHE","HAFL","HOME","RBSA","ROPI","BAOW","EVGR","NAWA","PEFA","PIWO","RUHU","SSHA","WEWP","GCSP","WCSP","WODU","CAGU","RNSA","SAVS","BLJA","ABOW","STSA","RBME","COYE","HAWO","TRES","CASJ","AMDI","HOSP","CAVI","SBIG","BLSW","BRBL","CAQU","EUCD","TRUS","WIFL","MGWA","AMWI","BAGO","BRAN","COGO","GOEA","HOGR","KILL","PIGU","RBGU","SUSC","WEGR","WEGU","AMCO","LISP","BLSC","COLO","GRSC","HEEG","HERG","LESA","NRWS","NSHO","RTLO","SAND","VESC","WESA","BBPL","BLTU","COMU","COTE","DUNL","HADU","RHAU","SNBU","WHIM","AMPI","BOGU","BRAC","ICGU","LESC","MAMU","NOPI","PAJA","PECO","PESA","RNDU","RNGR","SAPH","SEPL","SPSA","SURF","GRYE","BASA","CITE","EUWI","MAWR","LBDO","SNGO","LTDU","PALO","CHSP","MODO","NHWR","GHOW","BUOR","GWTE","NSWO","ABDU","LAZB","TOSO","RNEP","GWFG","EAGR","PBGR","TUVU","CACG","NOHA","WEME","LASP","HEWA","SNOW","NSHR","NOMO","WTSP","SEOW","AMKE","WEBL","MOCH","CANV","RUDU","WEKI","VESP","RBGR","SOSA","WISN","SORA","VIRA","REDH","FRGU","HOLA","BLPH","EAKI","BWTE","shannon"
"CGN1",1,5.67741935483871,3.23076923076923,1.46666666666667,0,5.35714285714286,0,1.78260869565217,0,1.5,0,1.57142857142857,1,2.5,0,0,0,0,1,2.66666666666667,1.41666666666667,0,0,0,0,3,1.75,1,3.35714285714286,1,0,2.2,1,0,1,2,0,1,1.77777777777778,0,2,0,3.2,1.26666666666667,1.75,0,1,0,0,0,1,1,2,0,1.25,1,2,0,1,1,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5414310463665
"CGN2",1,3.38709677419355,2.58333333333333,1.54545454545455,0,2.39130434782609,0,1.23529411764706,0,1.71428571428571,0,0,1,3.66666666666667,0,0,1,0,0,1,1.14285714285714,0,0,0,2,2.14285714285714,0,0,1.66666666666667,1,0,2,2,0,1.25,2,0,1.75,1.5,0,0,0,1.94444444444444,1.5,1.4,0,1,0,1,0,1,1.5,1,0,1.75,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52658799924
"CGN3",1.66666666666667,2.60714285714286,2.76190476190476,1.29411764705882,0,3.125,0,1.25,0,2,0,1,0,1.75,0,0,0,0,0,1.5,1.25,1,0,0,0,1.77777777777778,0,0,2,1,0,1.28571428571429,1,0,1.5,5.33333333333333,0,1.125,0,0,0,0,1.53333333333333,1.63157894736842,1.30769230769231,0,0,0,0,0,1,14.5,2.33333333333333,0,1.33333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01089581991019
"CGN4",4.14285714285714,4.66666666666667,3.03225806451613,1.44444444444444,0,3.85714285714286,0,1.25,1,1,0,4,1,1.5,0,0,1,0,0,2.71428571428571,1,1,0,0,0,2,0,0,3.57894736842105,0,0,1.41176470588235,1,0,1,0,0,1.25,1.5,2,0,0,1.70833333333333,1.33333333333333,2.23529411764706,0,3,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3268025291709
"CGN5",2,3.73913043478261,2.625,1.42857142857143,0,3.29166666666667,0,1.2,0,1,0,6.33333333333333,0,4,0,0,1,0,0,1.5,1,0,0,0,0,2.28571428571429,0,2,3.25,0,0,1.07142857142857,1,0,2,4.5,0,1,1,0,1,0,1.9047619047619,1.30769230769231,1.64705882352941,0,0,0,1,0,1,1,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31911026812761
"CGN6",2,5.10344827586207,2.42857142857143,1.47368421052632,0,2.55,0,1.09090909090909,1,1,0,15,0,1.75,0,0,1.375,0,0,1.66666666666667,1.25,0,0,0,0,2,0,0,1,0,0,1.80952380952381,2.33333333333333,0,1.16666666666667,3,0,1,2,0,1,0,1.88888888888889,1.11111111111111,1.6,0,0,0,1,0,1.25,1,2.33333333333333,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18984822232805
"CGN7",2.66666666666667,5.33333333333333,1.88235294117647,1.57142857142857,0,2.8695652173913,0,1.15384615384615,0,1.33333333333333,0,3.33333333333333,0,1.625,0,0,3.33333333333333,0,0,1.66666666666667,1.375,0,0,0,0,2.42857142857143,0,0,1,0,0,1.41666666666667,2,0,1.16666666666667,2.25,0,1.2,2,0,0,0,1.77777777777778,1.5,1.84615384615385,0,0,0,0,0,1,1.33333333333333,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28887051149085
"CGS1",0,4.51851851851852,1.88235294117647,1,0,1.9,0,1.33333333333333,0,1.125,0,0,0,2.5,1,0,0,0,0,1.6,1.16666666666667,0,0,0,0,1,8.75,0,1.75,0,0,1.28571428571429,1,0,1.14285714285714,0,0,0,0,0,1,0,1.44444444444444,1.25,1,0,0,0,0,0,1,1.5,1,0,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99439618102033
"CGS2",0,3.875,1.5,1.42857142857143,0,1.8,0,1.26666666666667,0,1.14285714285714,0,0,0,0,1,0,0,0,0,1.33333333333333,1,0,0,0,0,1,8,0,1,0,0,1.07692307692308,0,0,1.2,0,0,1,1,0,0,0,1.57142857142857,1.375,1,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98741666953412
"CGS3",0,4.08333333333333,2.23076923076923,1.55555555555556,0,1.63157894736842,0,1.2,0,1,0,10,0,1.5,1,0,1,0,0,2.11111111111111,1,1,0,0,0,1,7.5,0,1.7,1,0,1.33333333333333,1,0,1,5,0,1,1.66666666666667,0,1,0,1.8,1.42857142857143,1.2,0,0,0,2,0,0,1,3,0,2.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22501641851793
